College Name,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number
"Peoples Education Society's College of Engineering, Aurangabad","Nagasen Vana, Near Panchakki, University Rd., Aurangabad",Aurangabad,www.pescoe.ac.in,principal@pescoe.ac.in,2403001,Shri. V. F. Gajbhiye,2403017
"Hi-Tech Institute of Technology, Aurangabad","P-119, Bajajnagar, Aurangabad ",Aurangabad,www.hitechengg.edu.in,principal@hitechengg.edu.in,2552240,Mr.B.B.Jadhav,2553496
"Nagnathappa Halge Engineering  College, Parli, Beed","At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",Beed,www.nhce.in,nhce1@hotmail.com,224334,Prof. Mulgir S.N.,224334
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna","Jalna-Aurangabad Road, Nagewadi, Jalna",Jalna,www.msscetjalna.org,msscetjalna@gmail.com,202533,Sham B. Bhojane,202533
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad","Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",Aurangabad,www.saiengineeringcollege.in,appoint01@gmail.com,6517388,Kharat B.M.,6453732
"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur","Vill. Somnathpur, Tal. Udgir. Dist. Latur",Latur,www.muec.ac.in,principalmuimt@gmail.com,257722,Mr. Kulkarni A.B.,256152
"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.","Balsond, Tal.& Dist. Hingoli",Hingoli,www.ksiet.org,ksiet_hingoli@yahoo.co.in,290282,Ashruba Limbaji Korde,290281
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad","Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",Osmanabad,www.ktpcoe.org.in,ktpcoeo@gmail.com,2293099,ANDHALKAR SANTOSH,2293200
"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad","PB 327,Satara Road, Aurangabad",Aurangabad,www.mit.asia,info@mit.asia,2375111,Surendra R. Patil,2375111
"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.","Rotegaon, Post Box No. 327, Taluka, Vaijapur,Satara Village Road Dist. Aurangabad 431028",Aurangabad,www.mit.asia,munish.sharma@mit.asia,204035,V.G.Talekar,204035
"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad","Gevrai Tanda, Paithan Road, Taluka & Dist. Aurangabad.  431001",Aurangabad,www.sbnmpoly.org,principalsbnm@rediffmail.com,6616401,Mr. Kazi M,2480451
"Vinayakrao Patil Shikshan Prasarak Mandal, Institute Of Engineering & Technology Kannad","Kannad, Dist Aurangabad ",Aurangabad,www.ietkannad.org,1157principal@msbte.com,220588,MAGAR  N.S.,220588
"Shree Dhaneshwari Manav Vikas Mandal Diploma In Engineering And Technology Institute, Hatta, Tal. Basmat, Hingoli","Hatta, Taluka Vasamat, Dist. Hingoli ",Hingoli,www.sdmvmspolyhatta.in,1006principal@msbte.com,244257,Mr.Raut V.G.,22454
"Dharati Janseva Pratishthan, Diploma In Engineering & Technology Institute, Jalna","Rohanwadi, Revgaon Raod, Tq.Dist.Jalna ",Jalna,www.djppolytech.org,1093principal@msbte.com,8888651267,SHINDE B. T.,2482223
"Education Society, Kalawatibai College Of Engineering & Technology (Polytechnic), Naigaon, Nanded","Lalwandi Road, Tal. Naigaon (Kh), Nanded  431709",Nanded,www.kalawatibaipoly.com,1155principal@msbte.com,263399,Mrs.Dachawar P.S.,263399
"Sahayog Sevabhai Sanstha, Indira Institute Of Technology(Polytechnic), Nanded.","Gat No. 18 & 22 Vishnupuri, Nanded 431606",Nanded,www.sahayogcampus.ac.in,indirapoly@gmail.com,229155,KIRKAN SHANKAR SANJAY,229155
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad","P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway Aurangabad , 431005",Aurangabad,www.mit.asia,sunil.deshmukh@mit.asia,2375333,PRAKASH G. GADHE,2375333
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani","Vasmat Road,Parbhani",Parbhani,www.mspgroup.org,director.ssiems@yahoo.com,234109,Solanke Vikas Shankarrao,234109
"Ransamrat Kreeda Mandal's Rajarshi Shahu Institue of Technology,Parli Road Kallam, Dist. Osmanabad","Gat No 65-A/2, Parli Road Kallam, Dist. Osmanabad. 413507",Osmanabad,www.shahuitkallam.org,rsit1489@gmail.com,263011,Jawale Niteen Khanderao,263010
"Ambarwadikar Institute of Hotel Management & Catering Technology Polytechnic, Deolai, Aurangabad","Gut No. 103, Deolai, Surya Lawns Campus, Beed , Aurangabad ",Aurangabad,www.ambarwadikartech.com,ambarwadikar.hmct@gmail.com,2242044,Mr.Raju Kale,2653155
"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed"," Murshadapur, Tq. Ashti, Dist. Beed.  414203",Beed,www.dietashti.org,acspoly.ashti@gmail.com,282974,Bodkhe Vijay Babanrao,282974
"Sevadas Shikshan Prasarak Mandal's Vasantrao Naik Instiute of Technology, Vasarni, Nanded","Gut No 24, Vasarni, Nanded. 431603",Nanded,www.sevadasspmnnd.org,1506principal@msbte.com,225375,MR. JOSHI K.C.,225375
"Shri Sai Institute of Technology(Polytechnic),Aurangabad","P-75 Behind Garware Palyster,MIDC ,Chikalthana  Aurangabad , 431210",Aurangabad,www.ssit.org.in,ssitpoly@gmail.com,2470312,Gawande K R,2470312
"Sai Institute of Engineering & Technology, Bilda, Aurangabad.","Survey No.170, Sai Nagar,Aurangabad Ajanta Road,Jalgaon Highway,Village Bilda,Tal. Phulambri,",Aurangabad,www.sietaurangabad.com,sietaurangabad@gmail.com,2020555,Mr. Shankar Chate,2020555
"Maitree Foundation's Maitree Institute of Management & Technology, Bhatangali Tal.& Dist. Latur","Gut. No. 237, Bhatangali, Tq. & Dist. Latur.  413512",Latur,www.mimlatur.com,mimlatur@rediffmail.com,240430,Sharad Hudage,254888
"V.J. Shinde College of Engineering, Osmanabad.","Gat No. 738, Waruda road, Osmanabad.",Osmanabad,www.vjsengg.com,vjscoe2529@gmail.com,203205,Prof. Shinde Abhijeet V.,203205
"CSMSS Chh. Shahu College of Engineering, Aurangabad","Kanchanwadi, Paithan Road, Aurangabad.",Aurangabad,www.csmssengg.org,shahuengg@gmail.com,6646370,Pravinkumar G Jadhao,6646371
"D.B.Group of Instituions, School of Technology, At.Mahalangra, Tal.Chakur,Latur","Opp. LATUT-NANDED HIGHWAY,AT MAHALANGRA,TQ-CHAKUR,DIST-LATUR-412513",Latur,www.dbgroup.org.in,dbimr@yahoo.com,259008,PATHAN M.A.,259009
"Gramin College of Engineering, Vishnupuri, Nanded","Vishnupuri, Nanded, Nanded waghala, Nanded",Nanded,www.graminenggnanded.org,graminenggnanded@gmail.com,229900,Mrs. Gajbhare jaya,229112
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","H.R. Mahajani Marg, Matunga, Mumbai ",Mumbai City,www.vjti.ac.in,director@vjti.org.in,24198101,Dr. V. N. Palaskar,24198101
"Sardar Patel College of Engineering, Andheri","Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",Mumbai Suburban,www.spce.ac.in,principal@spce.ac.in,26708371,S.R.Vinerkar,26232192
"St. Xavier's Technical Institute, Mumbai","Mahim Causeway Road, Mahim, Mumbai , 400016",Mumbai City,www.xaviertech.com,office@xaviertech.com,24451961,RAVIRAJ GHADGE,24455937
"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai","Fr. Agnel Ashram Mumbai , 400050",Mumbai City,atc.fragnel.ac.in,fragnel_bandra@yahoo.com,67114051,DEEPAK MASANE,67114054
"Dr. Babasaheb Ambedkar Tech.University,Institute of Petrochemical Engineering,Lonere,Raigad","Vidyavihar,P.O.Lonere,Tal-Mangaon. Raigad , 402103",Raigad,www.iopelonere.com,iopelonere@rediffmail.com,275103,---,275103
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai","Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai ",Mumbai Suburban,www.mctrgit.ac.in,mctrgit02@gmail.com,26707025,Shri. Subhash Khachane,26707026
"Vidyalankar Institute of Technology,Wadala, Mumbai","Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai ",Mumbai City,www.vit.edu.in,principal@vit.edu.in,24161126,Mukund Deshmukh,24161126
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Vaman Tukaram Patil Marg, Chembur, Mumbai",Mumbai Suburban,www.shahandanchor.com,principal@sakec.ac.in,67978100,Prof.A.W.Khan,25580854
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai","Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ",Raigad,www.sce.edu.in,registrarsaraswati@gmail.com,27743706,Mr.Amar Shinde,27743705
"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai","Sector 8. CBD, Belapur, Navi Mumbai  400614",Thane,www.bvimit.co.in,admission@bvimit.co.in,27578415,Amol Ghatage,27578415
"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai","DES's Mumbai Campus, Kirti College Road, Dadar (W), Mumbai.  400028",Mumbai City,www.nmitd.edu.in,director@nmitd.edu.in,62764583,PRASAD KULAKRNI,62764583
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai ","At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai ",Raigad,www.mgmmumbai.ac.in,principal.cet@mgmmumbai.ac.in,65138119,Dr. Sunita Shinde,27433421
"Thakur College of Engineering and Technology, Kandivali, Mumbai","Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",Mumbai Suburban,www.tcetmumbai.in,tcet@thakureducation.org,67308000,Pankaj Singh,67308000
"Thadomal Shahani Engineering College, Bandra, Mumbai","37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai ",Mumbai Suburban,www.tsec.edu,gtthampi@yahoo.com,26047087,Manohar Chandwani,26041631
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai","Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",Mumbai Suburban,www.fragnel.edu.in,crce@fragnel.edu.in,67114101,Chandrashekhar Shetty,67114000
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai Suburban,www.ves.ac.in/vesit,vesit@vsnl.com,61532511,Mrs. Asma Parveen I.Siddavatam,61532532
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai","Sector - 7,CBD- Belpur, Navi Mumbai 400614 ",Thane,www.bvcoenm.edu.in,principal.bvcoenm@bharatividyapeeth.edu,27571074,Mr. Santosh Shahaji Pawar,27572140
"Terna Engineering College, Nerul, Navi Mumbai","Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",Thane,www.ternaengg.ac.in,principal@terna.org,61115401,Kavita S.Kadam,61115444
"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe","At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",Ratnagiri,www.mandaredusoc.org,rscoedegree@gmail.com,230005,D K Gaikwad,230005
"Smt. Indira Gandhi College of Engineering, Navi Mumbai","Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",Thane,www.sigce.edu.in,contactus@sigce.edu.in,8080949300,Chandrakant Jadhav,27543608
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai","Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",Thane,www.shivajiraojondhalecoe.org.in,officessjcoe@gmail.com,2023973, Mr. Shejul F. C.,2872560
"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai Road (W Rly), Tal: Vasai, District Palghar ",Palghar,www.vcet.edu.in,vcet_inbox@vcet.edu.in,2338234,Mr. Vishal K. Save,2338234
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Sector 9-A,  Vashi, Navi Mumbai,",Thane,www.fcrit.ac.in,principalfcrit@gmail.com,27771000,Neena Biju Nair,227771000
"Konkan Gyanpeeth College of Engineering, Karjat","Vengaon Road, Dahivali, Karjat",Raigad,www.kgce.edu.in,principal@kgce.edu.in,222580,A,222580
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",Mumbai Suburban,www.djsce.ac.in,info@djsce.ac.in,26123892,Mrs. Shreeya Hadkar,26123892
"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri","P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",Ratnagiri,www.famt.ac.in,admin@famt.ac.in,229569,Gajanan D Targaonkar,229657
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",Ratnagiri,www.rmcet.com,info@rmcet.com,269609,Padmanabh Shelar,269400
"Atharva College of Engineering,Malad(West),Mumbai","S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",Mumbai Suburban,www.atharvaeducation.com,ace@atharvaeducation.com,40294907,ANANDA  KANGANE,40294949
"Mahatma Education Society's Pillai College of Engineering, New Panvel","Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",Raigad,www.pce.ac.in,principalpce@mes.ac.in,27451700,P. Kumaran,27456100
"Don Bosco Institute of Technology, Mumbai","Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai ",Mumbai Suburban,www.dbit.in,dbit@dbit.in,25040508,Mr. Rajendra Tatkare,25042018
"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai","Somaiya Auryvihar Complex,  Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",Mumbai Suburban,www.somaiya.edu/vidyavihar/kjsieit,principal.tech@somaiya.edu,24061401,Ankush Gaikwad,24080331
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Sri. Chandrsekarendra Saraswathy Vidyapuram, Sector-5, Plot 1C&1E, Nerul Dist. Raigad ",Raigad,www.siesgst.edu.in,principalgst@sies.edu.in,61082404,V.Vijayalakshmi,61082400
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane","At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",Thane,www.jondhleengg.org,vjtsscoe@rediffmail.com,273999,KISHOR JONDHALE,273999
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar","St. John Technical Education Complex, Village Vevoor,Manor Road  Palghar (E)",Palghar,www.sjcet.co.in,office@sjcem.edu.in,0,MR. SATISH KUMAR TIWARI,297275
"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur","Sapgaon, Taluka Shahapur  Dist. Thane",Thane,www.armiet.com,registrar@armiet.com,40244310,Ankit Suresh Sanghavi,40244310
"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat","Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",Raigad,www.tasgaonkartech.com,sesytcem@gmail.com,321524,vivek dadu sawant,321524
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon","Shirgaon, At. Post Virar, Tal. Vasai. Thane ",Palghar,www.viva-technology.org,principalvit@vivacollege.org,7770002544,Mr. Mahendra D. Kajare,7770002544
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar","At Village Betegaon,Boisar Chillhar Road , Near Union Park,  Boisar(E), Tal: Palghar,",Palghar,www.theemcoe.org,info@theemcoe.org,284926,SHEETAL PATIL,284909
"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"," Pillai HOCL Educational
Campus, Rasayani, Tal. Khalapur. Dist. Raisad-",Raigad,www.mes.ac.in,pragneshshah@mes.ac.in,669001,Mr.Shirish Mayekar,669000
"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat","Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",Raigad,www.leelaeducationsociety.org,principalgvaiet@yahoo.com,229628,Swapnil Bafana,229628
"Bharati Vidyapeeth's Institute of Technology, Navi Mumbai","Belpada, C. B. D. SECTOR - 7, OPP. Kharghar Railway Station, Navi Mumbai.",Thane,www.iotmumbai.bharatividyapeeth.edu,bvitmumai@yahoo.com,27580126,Dilip Ganpat Mahadik,27572434
"Maratha Mandir's Babasaheb Gawade Institute of Technology, Mumbai","Maratha Mandir annex,Babasaheb Gawade Chowk,  Mumbai , 400008",Mumbai City,www.mmbgit.org,ajit.parab@mmbgims.com,66044100,Yogesh Sawant,66044100
"Kala Vidyamandir Institute of Technology (Polytechnic), Malad(W), Mumbai","MHADA World Bank project, Plot  No. M3, RSC,Gaekwad Nagar, Malad(W),Mumbai , 400095",Mumbai Suburban,www.kvmt.co.in,kvmitprinicipal@rediffmail.com,28440012,P.T.NALE,28440012
"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly","Navghar,Bhayander(E), Thane , 401105",Thane,www.prppolytechnic.com,info@prppolytechnic.com,28044871,MR. RAJESH BHOIR,28044871
"Saraswati Education Society,Saraswati Institute of Technology, Kharghar, Navi Mumbai","Plot No.-46/46A, Behind M.S.E.B.Sub Station, Near Utsav Chowk, Sector-5, Kharghar Navi Mumbai Raigad , 410210",Raigad,www.siot.edu.in,ses.siot.os.09@gmail.com,27743706,Mr. Amar A. Shinde,27743705
"Bharat College of Engineering, Kanhor, Badlapur(W)","Kanhor, Badlapur(w).,Tal- Ambernath. Dist. Thane ",Thane,www.bharatedu.co.in,info@bharatedu.co.in,7666615915,Mr. Satish Vishe,2665001
